"배터리 용량(mAh, Typical)",통화 시간 (3G),인터넷 사용 시간(3G),인터넷 사용 시간(Wi-Fi),인터넷 사용 시간(LTE),교체 가능,동영상 재생 시간,오디오 재생 시간,크기(세로x가로x두께),무게,종류(Main),크기(Main),해상도(Main),색상 (Main),S펜 지원,SIM 사이즈,인프라,2G GSM,3G UMTS,4G LTE,외장 메모리 지원,RAM Size (GB),ROM Size (GB),사용할 수 있는 메모리*,메인 카메라 - 화소,메인 카메라 - 오토 포커스,메인 카메라 - 플래시,동영상 녹화 해상도,전면 카메라 - 화소,모바일 TV,Gear 매니저,S보이스,위치 기술,PC 싱크,블루투스 버전,MHL,ANT+,NFC,USB 버전,Wi-Fi,Wi-Fi Direct,블루투스 프로파일,이어잭,동영상 지원 포맷,동영상 지원 해상도,오디오 지원 포맷,색상,CPU 속도,통화 시간 (W-CDMA),웨어러블 디바이스 지원,크기 (Main),해상도 (Main),종류 (Main),색심도 (Main),CPU 종류,후면 카메라 - 오토 포커스,후면 카메라 - 플래쉬,스토리지(저장 용량) (GB),사용 가능한 스토리지(저장 용량) (GB),4G FDD LTE,4G TDD LTE,형태,"크기(세로x가로x두께, mm)",무게(g),인터넷 사용 시간(3G) (Hours),인터넷 사용 시간(LTE) (Hours),인터넷 사용 시간(Wi-Fi) (Hours),비디오 재생 시간 (Hours),표준 배터리 용량(mAh),오디오 재생 시간 (Hours),연속 통화시간(2G GSM) (Hours),연속 통화시간(3G WCDMA) (Hours),연속 통화시간(2G CDMA) (Hours),연속 통화시간(3G TD-SCDMA) (Hours),연속 통화시간(4G LTE) (Hours),웨어러블 디바이스,전면 카메라 - 조리개 값,외장 스토리지(저장 용량) 지원,Type of SIM Slot,3G TD-SCDMA,"오디오 재생 시간 (Hours, Always On Display Off)",Gear 서포트,메모리 (GB),SIM 개수,USB 인터페이스,삼성 덱스 서포트,크기 (Main Display),후면 카메라 - OIS,후면 카메라 - 줌,후면 카메라 줌,전면 카메라 - 오토 포커스,슬로우 모션,스테레오 지원,후면 카메라 - 화소 (Multiple),후면 카메라 - 조리개 값 (Multiple),5G TDD Sub6,"비디오 재생 시간 (Hours, Wireless)","오디오 재생 시간 (Hours, Wireless)",UWB (Ultra-Wideband),후면 카메라 - Laser AF 센서,최대 주사율 (Main),멀티 SIM,전면 카메라 - OIS,전면 카메라 - 플래쉬,메인 카메라 - 타입,5G FDD Sub6,크기 (Sub),해상도 (Sub),종류 (Sub),색심도 (Sub),커버 카메라 - 화소,커버 카메라 - 조리개 값,커버 카메라 - 오토 포커스,"접힌 상태시 크기(세로x가로x두께, mm)",언더 디스플레이 카메라 - 화소,언더 디스플레이 카메라 - 조리개 값,언더 디스플레이 카메라 - 오토 포커스,언더 디스플레이 카메라 - OIS,블루투스 보청기 지원,대기 시간 (LTE),대기 시간 (3G),통화 시간 (LTE),대기 시간 (W-CDMA),메인 카메라 - 이미지 센서
2800mAh,최대 20시간,최대 11시간,최대 13시간,최대 11시간,지원,최대 13시간,최대 75시간,142.0 x 72.5 x 8.1,145,Super AMOLED,129.4 mm,1920 x 1080 (FHD),16M,미지원,Micro-SIM(3FF),4G LTE,"B10(E-GSM 900MHz), B13(DCS 1800MHz), B14(PCS 1900MHz)","B1(IMT 2100MHz), B2(PCS 1900MHz), B5(US 850MHz Cellular)","B1(2100),B3(1800),B5(850),B7(2600),B17(700)",MicroSD(up to 128GB),2,32,25,"CMOS, 16.0 MP",지원,지원,UHD 4K(3840 x 2160)@30fps,"CMOS, 2.0 MP",지원,지원,지원,"GPS,Glonass,Beidou",KIES,Bluetooth v4.0,지원,지원,지원,USB 3.0,"802.11 a/b/g/n/ac 2.4G+5GHz, VHT80 MIMO",지원,"A2DP,AVRCP,DI,HFP,HID,HOGP,HSP,MAP,OPP,PAN,PBAP",3.5 mm Stereo,"MP4,M4V,3GP,3G2,WMV,ASF,AVI,FLV,MKV,WEBM",UHD 4K(3840 x 2160)@30fps,"MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA","차콜 블랙, 쉬머 화이트, 일렉트릭 블루, 쿠퍼 골드",2.5 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800 mAh,,최대 9시간,최대 11시간,최대 10시간,지원,최대 13시간,최대 67시간,142.0 x 72.5 x 8.1,145,Super AMOLED,129.2 mm,2560 x 1440 (WQHD),16M,미지원,Micro-SIM (3FF),4G LTE,"GSM900,DCS1800,PCS1900","B1(2100),B2(1900),B5(850)","B1(2100),B3(1800),B5(850),B7(2600),B17(700)",MicroSD (Up to 128GB),3,32,24.99,CMOS 16.0 MP,지원,지원,UHD 4K (3840 x 2160)@30fps,CMOS 2.0 MP,지원,지원,지원,"GPS,Glonass,Beidou",KIES,Bluetooth v4.0,지원,지원,지원,USB 3.0,"802.11 a/b/g/n/ac 2.4G+5GHz, VHT80 MIMO",지원,"A2DP,AVRCP,DI,HFP,HID,HOGP,HSP,MAP,OPP,PAN,PBAP",3.5 mm Stereo,"MP4,M4V,3GP,3G2,WMV,ASF,AVI,FLV,MKV,WEBM",UHD 4K (3840 x 2160)@30fps,"MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA","차콜 블랙, 쉬머 화이트, 일렉트릭 블루, 쿠퍼 골드, 스위트 핑크, 글램 레드",2.5GHz,최대 18시간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550 mAh,,최대 10시간,최대 12시간,최대 11시간,미지원,최대 13시간,최대 49시간,143.4 x 70.5 x 6.8,138,Super AMOLED,129.2 mm,2560 x 1440 (QuadHD),16M,미지원,Nano-SIM (4FF),4G LTE,"GSM900, DCS1800, PCS1900","B1(2100), B2(1900) ,B5(850)","B1(2100),B2(1900),B3(1800),B5(850),B7(2600),B8(900),B17(700),B20(800),B26(800)",미지원,3,32 GB / 64,24.5 GB / 54.0,CMOS 16.0 MP,지원,지원,UHD 4K(3840 x 2160)@30fps,CMOS 5.0 MP,지원,,지원,"GPS,Glonass,Beidou",Smart Switch (PC version),Bluetooth v4.1,미지원,지원,지원,USB 2.0,"802.11 a/b/g/n/ac 2.4G+5GHz, VHT80 MIMO",지원,"A2DP,AVRCP,DI,HFP,HID,HOGP,HSP,MAP,OPP,PAN,PBAP",3.5mm Stereo,"MP4,M4V,3GP,3G2,WMV,ASF,AVI,FLV,MKV,WEBM",UHD 4K(3840 x 2160)@30fps,"MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA","화이트 펄, 블랙 사파이어, 골드 플래티넘, 블루 토파즈","2.1GHz, 1.5GHz",최대 17시간,"기어 서클(매니저 지원), 기어 핏, 기어",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600 mAh,,최대 10시간,최대 12시간,최대 11시간,미지원,최대 13시간,최대 50시간,142.1 x 70.1 x 7.0,132,dual edge Super AMOLED,129.2 mm,2560 x 1440 (QuadHD),16M,미지원,Nano-SIM (4FF),4G LTE,"GSM900, DCS1800, PCS1900","B1(2100), B2(1900) ,B5(850)","B1(2100),B2(1900),B3(1800),B5(850),B7(2600),B8(900),B17(700),B20(800),B26(800)",미지원,3,32 GB / 64 GB / 128,24.5 GB / 54.0 GB / 113.0,CMOS 16.0 MP,지원,지원,UHD 4K(3840 x 2160)@30fps,CMOS 5.0 MP,지원,,지원,"GPS,Glonass,Beidou",Smart Switch (PC version),Bluetooth v4.1,미지원,지원,지원,USB 2.0,"802.11 a/b/g/n/ac 2.4G+5GHz, VHT80 MIMO",지원,"A2DP,AVRCP,DI,HFP,HID,HOGP,HSP,MAP,OPP,PAN,PBAP",3.5mm Stereo,"MP4,M4V,3GP,3G2,WMV,ASF,AVI,FLV,MKV,WEBM",UHD 4K(3840 x 2160)@30fps,"MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA","화이트 펄, 블랙 사파이어, 골드 플래티넘, 그린 에메랄드","2.1GHz, 1.5GHz",최대 18시간,"기어 서클(매니저 지원), 기어 핏, 기어",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,아니오,,,,,,,,,아니오,,,"GSM900, DCS1800, PCS1900","B1(2100), B2(1900), B5(850)",,,,,,CMOS 16.0 MP,,,UHD 4K (3840 x 2160) @30fps,CMOS 5.0 MP,예,,예,"GPS, Glonass, Beidou",Smart Switch (PC version),Bluetooth v4.2,아니오,예,예,USB 2.0,"802.11 a/b/g/n/ac 2.4G+5GHz, VHT80 MIMO",예,"A2DP, AVRCP, DI, HFP, HID, HOGP, HSP, MAP, OPP, PAN, PBAP",3.5mm Stereo,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM",UHD 4K (3840 x 2160) @30fps,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA",골드 플래티넘,"2.1GHz, 1.5GHz",,,143.9 mm,2560 x 1440 (Quad HD),dual edge Super AMOLED,16M,Octa-Core,예,예,32,24.2,"B1(2100), B2(1900), B3(1800), B5(850), B7(2600), B8(900), B17(700), B20(800), B26(850)","B38(2600), B39(1900), B41(2500)",터치 바,154.4 x 75.8 x 6.9,153,최대 10,최대 11,최대 12,최대 15,3000,최대 66,- .,최대 20,- .,- .,- .,"기어 서클(매니저 지원), 기어 핏, 기어",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,아니오,,,,,,,,,아니오,,,"GSM900, DCS1800, PCS1900","B1(2100), B2(1900), B5(850)",,,,,,Dual Pixel 12.0 MP,,,UHD 4K (3840 x 2160) @30fps,CMOS 5.0 MP,예,,예,"GPS, Glonass, Beidou",Smart Switch (PC version),Bluetooth v4.2,아니오,예,예,USB 2.0,"802.11 a/b/g/n/ac 2.4G+5GHz, VHT80 MU-MIMO",예,"A2DP, AVRCP, DI, HFP, HID, HOGP, HSP, MAP, OPP, PAN, PBAP",3.5mm Stereo,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM",UHD 4K (3840 x 2160) @60fps,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA",블루 코랄,"2.3GHz, 1.6GHz",,,139.5 mm,2560 x 1440 (Quad HD),dual edge Super AMOLED,16M,Octa-Core,예,예,64,53.4,"B1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B8(900), B12(700), B17(700), B18(800), B19(800), B20(800), B25(1900), B26(850), B28(700)","B38(2600), B39(1900), B40(2300), B41(2500)",터치 바,150.9 x 72.6 x 7.7,157,최대 12,최대 15,최대 16,최대 18,3600,최대 62,,최대 27,,,,,f/1.7,MicroSD (최대 256GB),SIM 1 + MicroSD,"B34(2010), B39(1880)",최대 81,"기어 서클(매니저 서포트), 기어 핏, 기어1, 기어2, 기어2 네오, 기어 S, 기어 S2, 기어 VR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,아니오,,,,,,,,,아니오,,,"GSM900, DCS1800, PCS1900","B1(2100), B2(1900), B5(850)",,,,,,Dual Pixel 12.0 MP,,,UHD 4K (3840 x 2160) @30fps,CMOS 5.0 MP,예,,예,"GPS, Glonass, Beidou",Smart Switch (PC version),Bluetooth v4.2,아니오,예,예,USB 2.0,"802.11 a/b/g/n/ac 2.4G+5GHz, VHT80 MU-MIMO",예,"A2DP, AVRCP, DI, HFP, HID, HOGP, HSP, MAP, OPP, PAN, PBAP",3.5mm Stereo,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM",UHD 4K (3840 x 2160) @60fps,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA",WHITE,"2.3GHz, 1.6GHz",,,129.2 mm,2560 x 1440 (Quad HD),Super AMOLED,16M,Octa-Core,예,예,32,23.8,"B1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B8(900), B12(700), B17(700), B18(800), B19(800), B20(800), B25(1900), B26(850), B28(700)","B38(2600), B39(1900), B40(2300), B41(2500)",터치 바,142.4 x 69.6 x 7.9,152,최대 11,최대 13,최대 15,최대 16,3000,최대 46,,최대 22,,,,,f/1.7,MicroSD (최대 256GB),SIM 1 + MicroSD,"B34(2010), B39(1880)",최대 65,"기어 서클(매니저 서포트), 기어 핏, 기어1, 기어2, 기어2 네오, 기어 S, 기어 S2, 기어 VR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,아니오,,,,,,,,,아니오,,,"GSM900, DCS1800, PCS1900","B1(2100), B2(1900), B5(850)",,,,,,Dual Pixel 12.0 MP,,,UHD 4K (3840 x 2160) @30fps,CMOS 8.0 MP,예,,,"GPS, Glonass, Beidou, Galileo",Smart Switch (PC version),Bluetooth v5.0 (LE up to 2 Mbps),아니오,예,예,USB 3.1 Gen 1,"802.11 a/b/g/n/ac 2.4G+5GHz, VHT80 MU-MIMO,1024-QAM",예,"A2DP, AVRCP, DI, HFP, HID, HOGP, HSP, MAP, OPP, PAN, PBAP",3.5mm Stereo,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM",UHD 4K (3840 x 2160) @60fps,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA, DFF, DSF",코랄 블루,"2.3GHz, 1.7GHz",,,146.5 mm,2960 x 1440 (Quad HD+),dual edge Super AMOLED,16M,Octa-Core,예,예,64,52.1,"B1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B8(900), B12(700), B13(700), B17(700), B18(800), B19(800), B20(800), B25(1900), B26(850), B28(700)","B38(2600), B39(1900), B40(2300), B41(2500)",터치 바,148.9 x 68.1 x 8.0,155,최대 11,최대 12,최대 14,최대 17,3000,최대 47,,최대 22,,,,,F1.7,MicroSD (최대 256GB),,"B34(2010), B39(1880)",최대 74,"기어 서클(매니저 서포트), 기어 핏, 기어 핏2, 기어1, 기어2, 기어2 네오, 기어 S, 기어 S2, 기어 S3, 기어 아이콘X, 기어 VR, 기어 VR (2017), 기어 360, 기어 360 (2017)",4GB,Single-SIM,USB Type-C,지원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,아니오,,,,,,,,,아니오,,,"GSM900, DCS1800, PCS1900","B1(2100), B2(1900), B5(850)",,,,,,Dual Pixel 12.0 MP,,,UHD 4K (3840 x 2160) @30fps,CMOS 8.0 MP,예,,,"GPS, Glonass, Beidou, Galileo",Smart Switch (PC version),Bluetooth v5.0 (LE up to 2 Mbps),아니오,예,예,USB 3.1 Gen 1,"802.11 a/b/g/n/ac 2.4G+5GHz, VHT80 MU-MIMO,1024-QAM",예,,3.5mm Stereo,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM",UHD 4K (3840 x 2160) @60fps,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA, DFF, DSF",오키드 그레이,"2.3GHz, 1.7GHz",,,158.1 mm,2960 x 1440 (Quad HD+),dual edge Super AMOLED,16M,Octa-Core,예,예,64,52.2,"B1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B8(900), B12(700), B13(700), B17(700), B18(800), B19(800), B20(800), B25(1900), B26(850), B28(700)","B38(2600), B39(1900), B40(2300), B41(2500)",터치 바,159.5 x 73.4 x 8.1,173,,최대 13,최대 16,최대 18,3500,최대 52,,,,,최대 25,,F1.7,MicroSD (최대 256GB),,"B34(2010), B39(1880)",최대 82,"기어 서클(매니저 서포트), 기어 핏, 기어 핏2, 기어1, 기어2, 기어2 네오, 기어 S, 기어 S2, 기어 S3, 기어 아이콘X, 기어 VR, 기어 VR (2017), 기어 360, 기어 360 (2017)",,Single-SIM,USB Type-C,지원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,아니오,,,,,,,,,,,,"GSM850, GSM900, DCS1800, PCS1900","B1(2100), B2(1900), B4(AWS), B5(850), B8(900)",,,,,,12.0 MP,,,UHD 4K (3840 x 2160) @60fps,8.0 MP,예,,,"GPS, Glonass, Beidou, Galileo",Smart Switch (PC version),Bluetooth v5.0 (LE up to 2 Mbps),아니오,예,예,USB 3.1 Gen 1,"802.11 a/b/g/n/ac 2.4G+5GHz, VHT80 MU-MIMO,1024-QAM",예,,3.5 mm Stereo,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM",UHD 4K (3840 x 2160) @120fps,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA, DFF, DSF, APE",라일락 퍼플,"2.7 GHz, 1.7 GHz",,,,2960 x 1440 (Quad HD+),dual edge Super AMOLED,16 M,Octa-Core,예,예,64 GB,50.5 GB,"B1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B8(900), B12(700), B13(700), B17(700), B18(800), B19(800), B20(800), B25(1900), B26(850), B28(700), B66(AWS-3)","B38(2600), B39(1900), B40(2300), B41(2500)",터치 바,147.7 x 68.7 x 8.5,163,,최대 13,최대 14,최대 17,3000,최대 49,,,,,최대 20,,F1.7,MicroSD (최대 512 GB),,"B34(2010), B39(1880)",최대 80,"기어 서클(매니저 서포트), 기어 핏, 기어 핏2, 기어 핏2 프로, 기어 스포츠, 기어1, 기어2, 기어2 네오, 기어 S, 기어 S2, 기어 S3, 기어 아이콘X, 기어 VR (2017), 기어 360, 기어 360 (2017)",4 GB,Single-SIM,USB Type-C,지원,146.5 mm,예,Digital Zoom up to 8x,Digital Zoom up to 8x,예,"960fps @HD, 240fps @FHD",예,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
